PointsPerGame,PointsAgainstPerGame,Off1stDownsPerGame,1stDownsGivenPerGame,OffTotalYardsPerGame,YardsGivenUpPerGame,OffPassYardsPerGame,PassYardsGivenUpPerGame,OffRushYardsPerGame,RushYardsGivenUpPerGame,OffTurnoversPerGame,TurnoversCausedPerGame,WinRatio,MadePlayoffs
17.333333333333332,20.77777777777778,17.444444444444443,20.333333333333332,276.3333333333333,333.6666666666667,185.88888888888889,217.0,90.44444444444444,116.66666666666667,1.5555555555555556,1.6666666666666667,0.2222222222222222,0
22.88888888888889,19.0,18.666666666666668,18.11111111111111,302.22222222222223,319.6666666666667,194.44444444444446,195.44444444444446,107.77777777777777,124.22222222222223,2.0,1.5555555555555556,0.5555555555555556,1
26.555555555555557,21.666666666666668,21.11111111111111,18.88888888888889,360.3333333333333,308.3333333333333,262.55555555555554,176.55555555555554,97.77777777777777,131.77777777777777,1.7777777777777777,1.7777777777777777,0.5555555555555556,0
20.444444444444443,17.22222222222222,17.77777777777778,19.666666666666668,322.3333333333333,307.8888888888889,218.77777777777777,215.44444444444446,103.55555555555556,92.44444444444444,1.4444444444444444,2.2222222222222223,0.7777777777777778,1
26.333333333333332,16.88888888888889,20.88888888888889,18.88888888888889,348.77777777777777,315.3333333333333,224.44444444444446,204.0,124.33333333333333,111.33333333333333,1.7777777777777777,2.2222222222222223,0.8888888888888888,1
22.555555555555557,26.22222222222222,19.333333333333332,21.333333333333332,354.77777777777777,378.22222222222223,275.6666666666667,255.11111111111111,79.11111111111111,123.11111111111111,1.6666666666666667,0.8888888888888888,0.5555555555555556,1
22.333333333333332,14.555555555555555,21.88888888888889,17.22222222222222,345.0,301.22222222222223,215.33333333333334,221.44444444444446,129.66666666666666,79.77777777777777,1.6666666666666667,1.8888888888888888,0.6666666666666666,1
39.44444444444444,16.333333333333332,26.0,17.333333333333332,428.6666666666667,275.22222222222223,296.3333333333333,184.66666666666666,132.33333333333334,90.55555555555556,1.0,2.2222222222222223,1.0,1
20.88888888888889,17.77777777777778,20.77777777777778,15.777777777777779,328.1111111111111,300.6666666666667,195.11111111111111,200.66666666666666,133.0,100.0,1.3333333333333333,1.5555555555555556,0.6666666666666666,0
28.77777777777778,16.666666666666668,23.666666666666668,17.77777777777778,416.77777777777777,304.55555555555554,302.6666666666667,194.55555555555554,114.11111111111111,110.0,1.0,1.8888888888888888,0.6666666666666666,1
28.666666666666668,23.77777777777778,20.555555555555557,23.0,338.6666666666667,390.77777777777777,232.0,277.77777777777777,106.66666666666667,113.0,1.0,1.6666666666666667,0.7777777777777778,1
28.77777777777778,22.22222222222222,24.88888888888889,23.444444444444443,431.8888888888889,412.0,326.0,308.8888888888889,105.88888888888889,103.11111111111111,1.5555555555555556,1.8888888888888888,0.6666666666666666,1
33.22222222222222,22.333333333333332,28.77777777777778,21.77777777777778,430.3333333333333,382.1111111111111,284.3333333333333,285.3333333333333,146.0,96.77777777777777,0.7777777777777778,2.5555555555555554,0.6666666666666666,1
26.0,19.444444444444443,21.22222222222222,21.0,361.1111111111111,361.0,232.0,232.77777777777777,129.11111111111111,128.22222222222223,1.1111111111111112,2.111111111111111,0.7777777777777778,1
31.22222222222222,22.0,22.11111111111111,22.11111111111111,367.0,355.1111111111111,265.77777777777777,235.11111111111111,101.22222222222223,120.0,0.6666666666666666,2.0,0.7777777777777778,1
33.666666666666664,18.77777777777778,24.88888888888889,20.333333333333332,418.6666666666667,346.44444444444446,325.8888888888889,258.22222222222223,92.77777777777777,88.22222222222223,0.7777777777777778,1.4444444444444444,1.0,1
26.77777777777778,18.11111111111111,21.555555555555557,21.0,380.77777777777777,361.44444444444446,268.3333333333333,260.44444444444446,112.44444444444444,101.0,0.8888888888888888,1.0,0.7777777777777778,1
28.555555555555557,21.666666666666668,25.0,22.22222222222222,409.44444444444446,408.3333333333333,301.55555555555554,287.22222222222223,107.88888888888889,121.11111111111111,0.5555555555555556,1.2222222222222223,0.7777777777777778,1
30.0,22.444444444444443,23.0,21.666666666666668,387.55555555555554,381.0,271.44444444444446,274.22222222222223,116.11111111111111,106.77777777777777,1.4444444444444444,1.8888888888888888,0.7777777777777778,1
30.0,10.88888888888889,21.77777777777778,14.333333333333334,366.77777777777777,249.33333333333334,273.8888888888889,150.22222222222223,92.88888888888889,99.11111111111111,1.1111111111111112,3.0,0.8888888888888888,1
21.0,23.444444444444443,23.333333333333332,20.333333333333332,355.8888888888889,353.3333333333333,194.77777777777777,224.11111111111111,161.11111111111111,129.22222222222223,1.6666666666666667,1.6666666666666667,0.4444444444444444,0
19.88888888888889,20.666666666666668,19.22222222222222,14.666666666666666,339.0,269.0,229.44444444444446,194.11111111111111,109.55555555555556,74.88888888888889,1.2222222222222223,2.0,0.5555555555555556,0
17.0,26.555555555555557,18.666666666666668,17.88888888888889,314.3333333333333,311.3333333333333,213.33333333333334,180.44444444444446,101.0,130.88888888888889,2.111111111111111,1.0,0.1111111111111111,0
27.555555555555557,29.88888888888889,23.88888888888889,20.444444444444443,378.1111111111111,346.77777777777777,284.8888888888889,218.11111111111111,93.22222222222223,128.66666666666666,1.3333333333333333,1.2222222222222223,0.5555555555555556,0
16.555555555555557,17.555555555555557,17.0,17.0,272.44444444444446,274.0,186.44444444444446,162.0,86.0,112.0,2.3333333333333335,1.1111111111111112,0.4444444444444444,0
15.88888888888889,18.444444444444443,15.11111111111111,16.444444444444443,262.22222222222223,285.8888888888889,159.77777777777777,177.55555555555554,102.44444444444444,108.33333333333333,1.7777777777777777,1.1111111111111112,0.3333333333333333,0
